ott_id,key,treeID,correctedID,genusKey,familyKey,speciesKey,scientificNameGBIF,scientifcNameGBIF_genera,Order,Suborder,Infraorder,Family,Genus,Scientific name,Range centroid of latitude,Body mass,Mean clutch size,Freshwater,Marine,Terrestrial,Minimum altitude,Maximum altitude,Migrant,Extent of Occurrence (breeding/resident),Diet,Nocturnal,Forest,GenLength(modeled),Survival,Age at first breeding,Max longevity,chickPC1,hatchlingPC1,BMRnames,BMR.species.OTU,BMR.species.Metabolic.rate.Ryan,BMR.species.Body.Mass,BMR.species.bmr.sd,BMR.species.n.sd,BMR.species.se.sd,BMR.species.cov.sd,BMR.species.sd.bmr.est,BMR.species.sd.mass.est,BMR.species.se.bmr.est.1,BMR.species.se.mass.est.1,BMR.species.se.bmr.est.10,BMR.species.se.mass.est.10,BMR.species.se.bmr.est.20,BMR.species.se.mass.est.20,BMR.species.key
1085740,Acanthisitta chloris,Acanthisitta_chloris_1,Acanthisitta_chloris_1,5229953,7098,5229954,Acanthisitta chloris,Acanthisitta,PASSERIFORMES,ACANTHISITTI,ACANTHISITTI,Acanthisittidae,Acanthisitta,Acanthisitta chloris,-42.25,6.91,4,0,0,y,0,1550,Not a Migrant,563000,Invertebrate,0,1,1.890638142,NA,NA,6,-2.73187365,-1.594162859,Acanthisitta chloris,Acanthisitta chloris,0.136456667,6.5,NA,1,NA,NA,0.0191248900913956,0.562347492911249,0.0191248900913956,0.562347492911249,0.00604782126891959,0.177829891408494,0.00427645543065727,0.125744722112613,Acanthisitta chloris
1036189,Accipiter superciliosus,Accipiter_superciliosus_1,Accipiter_superciliosus_1,9405810,2877,2480580,Accipiter superciliosus,Accipiter,ACCIPITRIFORMES,ACCIPITRIFORMES,ACCIPITRIFORMES,Accipitridae,Accipiter,Accipiter superciliosus,-6.23,99.51,2,0,0,y,0,1500,Not a Migrant,13800000,VertFishScav,0,1,3.908627705,NA,NA,NA,-0.578863373,0.659994262,Accipiter cooperii,Accipiter cooperii,2.128,452,NA,1,NA,NA,0.965963168996938,86.7875168965586,0.965963168996938,86.7875168965586,0.305464374986447,27.4446225863473,0.215995930963827,19.4062787379117,Accipiter superciliosus
331487,Aegotheles insignis,Aegotheles_insignis_1,Aegotheles_insignis_1,8626876,7210,2496792,Aegotheles insignis,Aegotheles,CAPRIMULGIFORMES,CAPRIMULGIFORMES,CAPRIMULGIFORMES,Aegothelidae,Aegotheles,Aegotheles insignis,-5.27,78.5,NA,0,0,y,1150,3000,Not a Migrant,637000,Invertebrate,1,1,3.772146184,NA,NA,NA,-3.250002417,-0.431494201,Aegotheles cristatus,Aegotheles cristatus,0.3190875,45,NA,1,NA,NA,0.0643198283741419,5.60053582819228,0.0643198283741419,5.60053582819228,0.0203397156373413,1.7710449334465,0.0143823508545701,1.2523178822261,Aegotheles insignis
26078,Alcedo quadribrachys,Alcedo_quadribrachys_1,Alcedo_quadribrachys_1,2475493,2984,2475540,Alcedo quadribrachys,Alcedo,CORACIIFORMES,CORACIIFORMES,CORACIIFORMES,Alcedinidae,Alcedo,Alcedo quadribrachys,1.58,34.9,5,1,1,y,0,1800,Not a Migrant,8120000,VertFishScav,0,0,2.828319767,NA,NA,NA,-2.73187365,-1.594162859,Alcedo atthis,Alcedo atthis,0.378,34.3,NA,1,NA,NA,0.081923231112252,4.0564826823808,0.081923231112252,4.0564826823808,0.0259064003595086,1.28277245653527,0.0183185913703421,0.907057102735416,Alcedo quadribrachys
962757,Anas superciliosa,Anas_superciliosa_1,Anas_superciliosa_1,2498056,2986,2498084,Anas superciliosa,Anas,ANSERIFORMES,ANSERIFORMES,ANSERIFORMES,Anatidae,Anas,Anas superciliosa,-22.89,882.76,8.5,1,1,y,0,0,Not a Migrant,49800000,PlantSeed,0,0,4.943396813,58,NA,27.2,2.332707179,3.017501096,Anas platyrhynchos,Anas platyrhynchos,3.4,741,NA,1,NA,NA,1.88596344765883,156.129119549111,1.88596344765883,156.129119549111,0.596394007842566,49.3723626851913,0.421714247204501,34.9115324579004,Anas superciliosa
170196,Anhinga anhinga,Anhinga_anhinga_1,Anhinga_anhinga_1,2482079,2989,2482082,Anhinga anhinga,Anhinga,SULIFORMES,SULIFORMES,SULIFORMES,Anhingidae,Anhinga,Anhinga anhinga,-5.68,1235,4,1,0,y,0,900,Not a Migrant,28700000,VertFishScav,0,0,6.251448767,NA,3,16.5,-1.397511157,-0.502674397,Anhinga anhinga,Anhinga anhinga,3.2258,1040,NA,1,NA,NA,1.74952296194877,233.542876470779,1.74952296194877,233.542876470779,0.553247737852221,73.8527420955007,0.391205227111423,52.2217747449497,Anhinga anhinga
166688,Anser canagicus,Anser_canagicus_1,Anser_canagicus_1,2498159,2986,2498162,Anser canagicus,Anser,ANSERIFORMES,ANSERIFORMES,ANSERIFORMES,Anatidae,Anser,Anser canagicus,65.459999999999994,2136.4899999999998,5,1,1,y,0,0,Full Migrant,775000,PlantSeed,0,0,8.008237927,71.875,1.9926122669999999,20.25,2.280813528,3.017501096,Branta bernicla,Branta bernicla,6.06,1253,NA,1,NA,NA,4.30435657090064,291.401658596026,4.30435657090064,291.401658596026,1.36115706255581,92.1492955114226,0.962483389193173,65.15939173769,Anser canagicus
714464,Anseranas semipalmata,Anseranas_semipalmata_1,Anseranas_semipalmata_1,2497980,7219,2497981,Anseranas semipalmata,Anseranas,ANSERIFORMES,ANSERIFORMES,ANSERIFORMES,Anseranatidae,Anseranas,Anseranas semipalmata,-20.53,2393.4,6,1,0,y,0,0,Nomadic,5050000,PlantSeed,0,0,8.144257987,NA,3,24.8,1.428029341,1.827260751,Anseranas semipalmata,Anseranas semipalmata,NA,2393.4,NA,NA,NA,NA,NA,628.60725468252,NA,628.60725468252,NA,198.783067850231,NA,140.560855261964,Anseranas semipalmata
257929,Antigone canadensis,Grus_canadensis_1,Antigone_canadensis_1,2474940,9313,2474953,Antigone canadensis,Antigone,GRUIFORMES,GRUIFORMES,GRUIFORMES,Gruidae,Antigone,Antigone canadensis,60.36,4296.22,2,1,0,y,0,0,Full Migrant,33500000,Omnivore,0,0,11.45521958,NA,2.998357065,36.6,1.428029341,1.827260751,Grus canadensis,Grus canadensis,8.136,3890,NA,1,NA,NA,6.5551359820008,1119.32616905168,6.5551359820008,1119.32616905168,2.0729160075247,353.962013883399,1.46577296575086,250.288940299399,Antigone canadensis
95396,Apaloderma aequatoriale,Apaloderma_aequatoriale_1,Apaloderma_aequatoriale_1,2496623,9356,2496624,Apaloderma aequatoriale,Apaloderma,TROGONIFORMES,TROGONIFORMES,TROGONIFORMES,Trogonidae,Apaloderma,Apaloderma aequatoriale,1.21,58.02,2,0,0,y,0,0,Not a Migrant,2020000,Invertebrate,0,1,3.753241648,NA,NA,NA,-2.997647279,-1.594162859,Apaloderma aequatoriale,Apaloderma aequatoriale,NA,58.02,NA,NA,NA,NA,NA,7.57420066349208,NA,7.57420066349208,NA,2.39517255517935,NA,1.69364275587923,Apaloderma aequatoriale
748998,Apteryx mantelli,Apteryx_sp._1,Apteryx mantelli_1,2495138,7258,2495144,Apteryx mantelli,Apteryx,STRUTHIONIFORMES,STRUTHIONIFORMES,STRUTHIONIFORMES,Apterygidae,Apteryx,Apteryx mantelli,-37.840000000000003,2320.5100000000002,2,0,0,y,0,1000,Not a Migrant,157000,Invertebrate,1,1,8.50203165,NA,2,20,2.332707179,3.017501096,Apteryx australis,Apteryx australis,4.0295,2380,0.000707106781186784,2,0.000500000000000167,2.97103689574279e-07,2.4036270835896,624.428619658176,2.4036270835896,624.428619658176,0.760093622981106,197.461667431483,0.537467355146591,139.626484065204,Apteryx mantelli
1095362,Aramus guarauna,Aramus_guarauna_1,Aramus_guarauna_1,2474336,7514,2474337,Aramus guarauna,Aramus,GRUIFORMES,GRUIFORMES,GRUIFORMES,Aramidae,Aramus,Aramus guarauna,-10.66,1080,6,1,0,y,0,1500,Full Migrant,24600000,Omnivore,0,0,3.850647088,NA,1,12,1.438408071,1.827260751,Aramus guarauna,Aramus guarauna,NA,1080,NA,NA,NA,NA,NA,244.251619950496,NA,244.251619950496,NA,77.2391441229391,NA,54.6163225823753,Aramus guarauna
759410,Archilochus colubris,Archilochus_colubris_1,Archilochus_colubris_1,2476402,5289,5228514,Archilochus colubris,Archilochus,CAPRIMULGIFORMES,CAPRIMULGIFORMES,CAPRIMULGIFORMES,Trochilidae,Archilochus,Archilochus colubris,41.83,3.09,2,0,0,y,0,1900,Full Migrant,9860000,FruiNect,0,1,2.160837318,36.5,1,9.1666666669999994,-2.152371229,-1.20660664,Archilochus colubris,Archilochus colubris,0.07832,3.2,NA,1,NA,NA,0.00865603350846803,0.242326213230702,0.00865603350846803,0.242326213230702,0.00273727813894974,0.0766302770572648,0.00193554793404505,0.0541857885513958,Archilochus colubris
744564,Ardea herodias,Ardea_herodias_1,Ardea_herodias_1,2480922,3685,9630752,Ardea herodias,Ardea,PELECANIFORMES,PELECANIFORMES,PELECANIFORMES,Ardeidae,Ardea,Ardea herodias,43.94,2523.41,4.5,1,1,y,0,2600,Full Migrant,34200000,VertFishScav,0,0,7.44001806,78,2,24.5,-0.578863373,0.659994262,Ardea herodias,Ardea herodias,6.199,1870,NA,1,NA,NA,4.44601477901599,468.881943139894,4.44601477901599,468.881943139894,1.40595332124607,148.273489404763,0.994159127484846,104.845189828299,Ardea herodias
726166,Ardenna grisea,Puffinus_griseus_1,Ardenna_grisea_1,5229335,9339,5739277,Ardenna grisea,Ardenna,PROCELLARIIFORMES,PROCELLARIIFORMES,PROCELLARIIFORMES,Procellariidae,Ardenna,Ardenna grisea,-42.16,787,1,0,1,y,0,1500,Full Migrant,466000000,VertFishScav,0,0,15.50658681,93.4,6,34,-0.578863373,0.659994262,Ardenna pacifica,Ardenna pacifica,1.486111111,337.8,NA,1,NA,NA,0.578540383904703,61.4056134288916,0.578540383904703,61.4056134288916,0.182950533152708,19.4181599555119,0.129365562613974,13.7307125827076,Ardenna grisea
521837,Ardeotis kori,Ardeotis_kori_1,Ardeotis_kori_1,8518978,9610,2474909,Ardeotis kori,Ardeotis,OTIDIFORMES,OTIDIFORMES,OTIDIFORMES,Otididae,Ardeotis,Ardeotis kori,-16.309999999999999,7994.16,2,0,0,y,0,2000,Not a Migrant,8800000,Omnivore,0,0,11.62403745,NA,3.0004107339999999,26,1.438408071,1.827260751,Ardeotis kori,Ardeotis kori,NA,7994.16,NA,NA,NA,NA,NA,2633.73351297743,NA,2633.73351297743,NA,832.859665092532,NA,588.920716963686,Ardeotis kori
821753,Arenaria interpres,Arenaria_interpres_1,Arenaria_interpres_1,2481774,5282,2481776,Arenaria interpres,Arenaria,CHARADRIIFORMES,SCOLOPACI,SCOLOPACI,Scolopacidae,Arenaria,Arenaria interpres,72.48,135.97999999999999,3,1,1,y,0,0,Full Migrant,27600000,Invertebrate,0,0,6.151059997,80.900000000000006,2,22.3,2.280813528,3.017501096,Arenaria interpres,Arenaria interpres,0.92,90,0,2,0,0,0.291722558101806,12.759542244995,0.291722558101806,12.759542244995,0.0922507728452512,4.03492153953225,0.065231147048577,2.85312038215891,Arenaria interpres
372536,Atelornis pittoides,Atelornis_pittoides_1,Atelornis_pittoides_1,2475332,5216,2475334,Atelornis pittoides,Atelornis,CORACIIFORMES,CORACIIFORMES,CORACIIFORMES,Brachypteraciidae,Atelornis,Atelornis pittoides,-17.77,91.5,3,0,0,y,0,2000,Not a Migrant,239000,Invertebrate,0,1,3.816053319,NA,NA,NA,-2.472809267,-1.594162859,Atelornis pittoides,Atelornis pittoides,NA,91.5,NA,NA,NA,NA,NA,13.0125622629672,NA,13.0125622629672,NA,4.11493349457313,NA,2.90969737814432,Atelornis pittoides
832938,Aythya valisineria,Aythya_valisineria_1,Aythya_valisineria_1,2498254,2986,2498256,Aythya valisineria,Aythya,ANSERIFORMES,ANSERIFORMES,ANSERIFORMES,Anatidae,Aythya,Aythya valisineria,57.02,1202,9.5,1,1,y,0,0,Full Migrant,10500000,PlantSeed,0,0,5.161870032,75.5,1,29.5,2.322328449,3.017501096,Aythya fuligula,Aythya fuligula,2.93,611,NA,1,NA,NA,1.52503453155254,124.154332775193,1.52503453155254,124.154332775193,0.482258263011395,39.2610472948102,0.341008088058603,27.7617527786461,Aythya valisineria
464697,Balaeniceps rex,Balaeniceps_rex_1,Balaeniceps_rex_1,2480346,4287242,2480347,Balaeniceps rex,Balaeniceps,PELECANIFORMES,PELECANIFORMES,PELECANIFORMES,Balaenicipitidae,Balaeniceps,Balaeniceps rex,-0.87,5941.01,2,1,0,NA,0,0,Not a Migrant,2360000,VertFishScav,0,0,10.980509,NA,3,35.85,-1.158800364,-0.502674397,Balaeniceps rex,Balaeniceps rex,NA,5941.01,NA,NA,NA,NA,NA,1851.10680390276,NA,1851.10680390276,NA,585.37136925674,NA,413.920064713895,Balaeniceps rex
191006,Balearica regulorum,Balearica_regulorum_1,Balearica_regulorum_1,2474928,9313,5228229,Balearica regulorum,Balearica,GRUIFORMES,GRUIFORMES,GRUIFORMES,Gruidae,Balearica,Balearica regulorum,-12.81,3771.99,2.5,1,0,y,0,0,Not a Migrant,6070000,Omnivore,0,0,9.252157642,NA,3.9810295729999998,17,1.438408071,1.827260751,Balearica regulorum,Balearica regulorum,NA,3771.99,NA,NA,NA,NA,NA,1079.10356972217,NA,1079.10356972217,NA,341.242511154037,NA,241.294893666145,Balearica regulorum
57350,Barnardius zonarius,Barnardius_zonarius_1,Barnardius_zonarius_1,2479719,9340,2479720,Barnardius zonarius,Barnardius,PSITTACIFORMES,PSITTACIFORMES,PSITTACIFORMES,Psittacidae,Barnardius,Barnardius zonarius,-27.28,121,5.5,1,0,y,0,0,Nomadic,7230000,FruiNect,0,0,4.678165266,NA,1.5,17.899999999999999,-1.572868808,-0.81905042,Barnardius zonarius,Barnardius zonarius,0.754,134.4,0.0509116882454315,2,0.036,0.000378807204207079,0.219574772758512,20.5457898053832,0.219574772758512,20.5457898053832,0.069435639863079,6.49714921120785,0.0490984118032101,4.5941782656259,Barnardius zonarius
728082,Bonasa umbellus,Bonasa_umbellus_1,Bonasa_umbellus_1,2473701,9331,2473702,Bonasa umbellus,Bonasa,GALLIFORMES,GALLIFORMES,GALLIFORMES,Phasianidae,Bonasa,Bonasa umbellus,52.87,530.91,11,0,0,y,0,0,Not a Migrant,15700000,PlantSeed,0,1,2.398076811,34,1.2,8.5,2.332707179,3.017501096,Bonasa umbellus,Bonasa umbellus,2.3815,644,0.00212132034355972,2,0.00150000000000006,3.29397568875733e-06,1.13436063857947,132.159978038522,1.13436063857947,132.159978038522,0.35871633059542,41.7926546119563,0.253650749886377,29.5518694799015,Bonasa umbellus
789428,Buccanodon duchaillui,Buccanodon_duchaillui_1,Buccanodon_duchaillui_1,2478789,4849497,2478790,Buccanodon duchaillui,Buccanodon,PICIFORMES,PICIFORMES,PICIFORMES,Lybiidae,Buccanodon,Buccanodon duchaillui,1.17,41.8,NA,0,0,y,0,2250,Not a Migrant,5940000,FruiNect,0,1,3.373669323,NA,NA,NA,-3.5090668,-1.594162859,Buccanodon duchaillui,Buccanodon duchaillui,NA,41.8,NA,NA,NA,NA,NA,5.13065089197811,NA,5.13065089197811,NA,1.62245426978253,NA,1.1472484163283,Buccanodon duchaillui
483807,Bucco capensis,Bucco_capensis_1,Bucco_capensis_1,7237085,5703,5228276,Bucco capensis,Bucco,PICIFORMES,PICIFORMES,PICIFORMES,Bucconidae,Bucco,Bucco capensis,-2.4300000000000002,54,NA,1,0,y,0,1700,Not a Migrant,6080000,VertFishScav,0,1,3.275246922,NA,NA,NA,-2.73187365,-1.594162859,Bucco macrodactylus,Bucco macrodactylus,0.18,23.7,NA,1,NA,NA,0.0284010543397988,2.61475445016892,0.0284010543397988,2.61475445016892,0.0089812019663974,0.826857958459501,0.00635066881364555,0.584676869504778,Bucco capensis
814836,Bucorvus leadbeateri,Bucorvus_leadbeateri_1,Bucorvus_leadbeateri_1,2476040,5704,2476041,Bucorvus leadbeateri,Bucorvus,BUCEROTIFORMES,BUCEROTIFORMES,BUCEROTIFORMES,Bucerotidae,Bucorvus,Bucorvus leadbeateri,-14.23,3743.62,2,1,0,y,0,4250,Not a Migrant,7140000,Invertebrate,0,1,19.94565797,NA,4.4859775470000001,70,-2.524622143,-1.594162859,Rhyticeros plicatus,Rhyticeros plicatus,4.605584467,1781.6,NA,1,NA,NA,2.90890055194997,442.669365393041,2.90890055194997,442.669365393041,0.919875123108285,139.984344502333,0.650449937394679,98.9838792575532,Bucorvus leadbeateri
261314,Burhinus oedicnemus,Burhinus_oedicnemus_1,Burhinus_oedicnemus_1,2482094,9697,2482100,Burhinus oedicnemus,Burhinus,CHARADRIIFORMES,CHARADRII,CHARADRII,Burhinidae,Burhinus,Burhinus oedicnemus,40.31,459,2,0,0,y,0,0,Full Migrant,27200000,Omnivore,0,0,7.43404827,83.2,3,17.920000000000002,1.428029341,1.827260751,Burhinus oedicnemus,Burhinus oedicnemus,1.93,493.73,NA,1,NA,NA,0.840234228145151,96.3864620560809,0.840234228145151,96.3864620560809,0.265705392897223,30.4800755702612,0.187882085115462,21.5526681268101,Burhinus oedicnemus
509839,Buteo jamaicensis,Buteo_jamaicensis_1,Buteo_jamaicensis_1,2480517,2877,2480542,Buteo jamaicensis,Buteo,ACCIPITRIFORMES,ACCIPITRIFORMES,ACCIPITRIFORMES,Accipitridae,Buteo,Buteo jamaicensis,45.42,1101.1600000000001,2.5,0,0,y,0,3200,Full Migrant,30900000,VertFishScav,0,0,9.188919209,80,2,30.7,-0.578863373,0.659994262,Buteo jamaicensis,Buteo jamaicensis,4.33,1140.9,NA,1,NA,NA,2.66359178556666,260.698614067408,2.66359178556666,260.698614067408,0.842301679930546,82.4401403302221,0.59559722968371,58.2939822694706,Buteo jamaicensis
